Entry Time,Exit Time,Type,Points,Duration_min,Reason
2025-10-01 16:35:00+02:00,2025-10-01 16:36:00+02:00,LONG,9.5,1.0,Divergence
2025-10-01 16:39:00+02:00,2025-10-01 16:39:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 16:41:00+02:00,2025-10-01 16:41:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 16:43:00+02:00,2025-10-01 16:48:00+02:00,LONG,-10.25,5.0,Divergence
2025-10-01 16:50:00+02:00,2025-10-01 16:55:00+02:00,SHORT,-11.75,5.0,Divergence
2025-10-01 16:57:00+02:00,2025-10-01 16:57:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 16:59:00+02:00,2025-10-01 16:59:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 17:02:00+02:00,2025-10-01 17:06:00+02:00,LONG,-20.25,4.0,Divergence
2025-10-01 17:09:00+02:00,2025-10-01 17:10:00+02:00,SHORT,1.0,1.0,Divergence
2025-10-01 17:13:00+02:00,2025-10-01 17:18:00+02:00,SHORT,-5.25,5.0,Divergence
2025-10-01 17:22:00+02:00,2025-10-01 17:22:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 17:24:00+02:00,2025-10-01 17:24:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 17:26:00+02:00,2025-10-01 17:26:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 17:29:00+02:00,2025-10-01 17:30:00+02:00,LONG,-3.5,1.0,Divergence
2025-10-01 17:33:00+02:00,2025-10-01 17:36:00+02:00,LONG,5.75,3.0,Divergence
2025-10-01 17:38:00+02:00,2025-10-01 17:38:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 17:41:00+02:00,2025-10-01 17:42:00+02:00,SHORT,-0.75,1.0,Divergence
2025-10-01 17:44:00+02:00,2025-10-01 17:44:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 17:46:00+02:00,2025-10-01 17:46:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 17:48:00+02:00,2025-10-01 17:49:00+02:00,SHORT,6.25,1.0,Divergence
2025-10-01 17:51:00+02:00,2025-10-01 17:51:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 17:53:00+02:00,2025-10-01 17:54:00+02:00,LONG,-3.5,1.0,Divergence
2025-10-01 17:56:00+02:00,2025-10-01 17:57:00+02:00,LONG,-0.75,1.0,Divergence
2025-10-01 18:00:00+02:00,2025-10-01 18:02:00+02:00,LONG,5.0,2.0,Divergence
